Даты,Квартиры в новостройках и жилых комплексах за м2,Изменение,Квартиры (вторичный рынок) за м2,Изменение.1
30.11.2023,92546.5,-1.85%,105462.7,+1.13%
16.11.2023,94258.4,-9.29%,104271.8,+1.39%
02.11.2023,103017.2,+0.3%,102823.4,+1.63%
19.10.2023,102703.0,+9.83%,101144.5,+1.86%
05.10.2023,92608.2,-0.43%,99266.9,+0.78%
21.09.2023,93004.7,-6.33%,98488.7,+1.17%
07.09.2023,98887.9,-2.4%,97334.6,+0.45%
24.08.2023,101257.7,+1.12%,96899.2,+0.27%
11.08.2023,100125.6,-0.32%,96640.2,-0.22%
27.07.2023,100446.9,+0.42%,96855.0,-0.03%
13.07.2023,100021.3,-1.24%,96881.2,-0.66%
29.06.2023,101262.6,+3.32%,97521.1,+0.48%
15.06.2023,97905.7,+5%,97051.9,+0.48%
01.06.2023,93009.1,+0.84%,96586.7,-5.35%
18.05.2023,92227.55,+0.27%,101754.87,+1.66%
04.05.2023,91978.3,-1.79%,100061.2,-0.12%
20.04.2023,93622.1,+1.23%,100184.7,+0.84%
06.04.2023,92467.7,+1.71%,99343.0,+0.61%
23.03.2023,90884.26,+0.92%,98732.32,+0.62%
03.03.2023,90051.43,-0.23%,98121.63,-0.22%
17.02.2023,90261.53,+0.37%,98333.37,+0.76%
06.02.2023,89928.0,+3.32%,97588.8,-0.41%
18.01.2023,86942.2,-11.98%,97993.2,-3.26%
30.12.2022,97356.0,-0.33%,101192.43,+3.89%
15.12.2022,97673.0,+0.06%,97253.17,+0.3%
02.12.2022,97615.97,-0.33%,96960.63,+0.78%
17.11.2022,97937.5,-2.65%,96203.53,+0.12%
03.11.2022,100531.8,+9.78%,96086.53,+0.1%
20.10.2022,90696.3,-0%,95986.9,+0.17%
10.10.2022,90696.4,-0.41%,95820.1,+1.41%
23.09.2022,91072.4,+1.21%,94467.4,+1.66%
09.09.2022,89969.9,-1.09%,92897.2,+2.03%
25.08.2022,90947.9,+0.08%,91008.37,+0.04%
17.08.2022,90871.1,+2.09%,90969.25,+1.3%
21.07.2022,88976.3,-3.07%,89785.28,+0.69%
30.06.2022,91707.2,-0.38%,89169.08,-0.2%
17.06.2022,92056.7,-1.95%,89343.23,+2.55%
06.06.2022,93850.45,-0.24%,87063.75,+1.47%
20.05.2022,94075.3,+4.09%,85782.3,+1.46%
06.05.2022,90224.0,-1.08%,84531.4,+0.21%
21.04.2022,91194.0,+2.2%,84357.2,+0.8%
11.04.2022,89185.6,+1.09%,83681.0,+0.34%
29.03.2022,88209.6,+0.06%,83395.5,+0.03%
24.03.2022,88152.92,+1.44%,83374.48,+1.15%
10.03.2022,86886.74,+1.89%,82412.52,+0.72%
24.02.2022,85246.12,+0.37%,81817.64,+0.95%
11.02.2022,84934.42,-0.6%,81039.89,+1.32%
28.01.2022,85447.9,+1.27%,79967.84,+2.2%
14.01.2022,84365.11,-8.14%,78207.69,+0.74%
30.12.2021,91234.4,+0.74%,77626.56,+0.29%
19.12.2021,90562.49,+3.31%,77401.17,+0.56%
03.12.2021,87566.6,+8.32%,76967.74,+1.04%
19.11.2021,80283.9,+2.69%,76170.08,+1.67%
06.11.2021,78126.39,+0.22%,74901.74,+1.58%
22.10.2021,77954.29,-0.19%,73718.93,+3.12%
